,A,B,C,D,E,F,G,H,I,J
1,Escalation ID,Raised On,Related Ticket / Ref,Raised By,Agent / Team,Channel,Complaint,Status,Resolved On,Days Open
,,,,,,,,,,
2,ESC-501,01-03-2026,RF-1325,Agent,GoFly Holidays,Email,"Agent chasing for a status update, no response",Resolved,11-03-2026,10
3,ESC-502,02-03-2026,RF-1096,Agent,GoFly Holidays,Email,"Agent chasing for a status update, no response",Resolved,15-03-2026,13
4,ESC-503,05-03-2026,RF-1202,Agent,TripHub,WhatsApp,"Agent chasing for a status update, no response",Open,,117
5,ESC-504,05-03-2026,RF-1593,Agent,Peak Journeys,Email,"No reference number given, agent chasing for two weeks",Resolved,19/03/26,14
6,ESC-505,06-03-2026,RF-1529,Agent,TripHub,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,15-03-2026,9
7,ESC-506,07-03-2026,RF-1389,Agent,Orbit Travels,Email,"Agent chasing for a status update, no response",Resolved,14-03-2026,7
8,ESC-507,07-03-2026,RF-1517,Agent,Nomad Travel,Phone,"Ticket shows closed, Finance has no record of this refund",Resolved,14-03-2026,7
9,ESC-508,08-03-2026,RF-1042,Agent,Metro Yatra,Phone,Support says refund is done but agent says money not credited,Resolved,22-03-2026,14
10,ESC-509,09-03-2026,RF-1703,Agent,Skyline Travels,Email,Repeated follow-ups on refund status with no reply,Resolved,13-03-2026,4
11,ESC-510,10-03-2026,RF-1164,Agent,Sunrise Trips,Email,"Agent chasing for a status update, no response",Resolved,23-03-2026,13
12,ESC-511,12-03-2026,RF-1454,Agent,Pinnacle Getaways,Email,Repeated follow-ups on refund status with no reply,Resolved,29-03-2026,17
13,ESC-512,13-03-2026,RF-1671,Agent,Peak Journeys,Email,"Told refund rejected, but no reason given",Resolved,30-03-2026,17
14,ESC-513,13-03-2026,RF-1425,Agent,Yatri Junction,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,17-03-2026,4
15,ESC-514,15-03-2026,RF-1590,Agent,Wander Agency,Phone,"Agent chasing for a status update, no response",Resolved,01-04-2026,17
16,ESC-515,16/03/26,RF-1151,Agent,GoFly Holidays,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,31-03-2026,15
17,ESC-516,17-03-2026,RF-1021,Agent,Kaveri Tours,Phone,"Agent chasing for a status update, no response",Resolved,02-04-2026,16
18,ESC-517,20-03-2026,RF-1308,Agent,BlueJet Tours,WhatsApp,"Agent chasing for a status update, no response",Resolved,25-03-2026,5
19,ESC-518,20-03-2026,RF-1373,Agent,BlueJet Tours,Phone,Repeated follow-ups on refund status with no reply,Resolved,06-04-2026,17
20,ESC-519,20-03-2026,RF-1543,Agent,Yatri Junction,WhatsApp,"Agent chasing for a status update, no response",Open,,102
21,ESC-520,20-03-2026,RF-1126,Agent,Metro Yatra,Email,"Agent chasing for a status update, no response",Resolved,07-04-2026,18
22,ESC-521,22-03-2026,RF-1817,Agent,TripHub,Email,Decline communicated without any policy explanation,Resolved,29-03-2026,7
23,ESC-522,29-03-2026,RF-1338,Agent,GoFly Holidays,Email,Repeated follow-ups on refund status with no reply,Resolved,01-04-2026,3
24,ESC-523,31-03-2026,no ref,Agent,Peak Journeys,Email,Repeated follow-ups on refund status with no reply,Resolved,08-04-2026,8
25,ESC-524,02-04-2026,RF-1595,Agent,Metro Yatra,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,06-04-2026,4
26,ESC-525,02-04-2026,RF-1409,Agent,Nomad Travel,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,17-04-2026,15
27,ESC-526,02/04/26,RF-1632,Agent,BlueJet Tours,Email,"Agent chasing for a status update, no response",Open,,89
28,ESC-527,04-04-2026,RF-1852,Agent,Metro Yatra,Email,"Agent chasing for a status update, no response",Open,,87
29,ESC-528,05-04-2026,RF-1758,Agent,Yatri Junction,Phone,"Agent chasing for a status update, no response",Resolved,07-04-2026,2
30,ESC-529,07-04-2026,RF-1787,Agent,Peak Journeys,Phone,"Agent chasing for a status update, no response",Resolved,16-04-2026,9
31,ESC-530,09-04-2026,RF-1131,Agent,GoFly Holidays,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,17-04-2026,8
32,ESC-531,11-04-2026,RF-1738,Agent,TripHub,Phone,"Agent chasing for a status update, no response",Resolved,20-04-2026,9
33,ESC-532,12-04-2026,-,Agent,TripHub,Email,"No reference number given, agent chasing for two weeks",Resolved,14-04-2026,2
34,ESC-533,13-04-2026,RF-1101,Agent,GoFly Holidays,Email,Repeated follow-ups on refund status with no reply,Resolved,26-04-2026,13
35,ESC-534,13-04-2026,RF-1007,Agent,TripHub,Phone,Repeated follow-ups on refund status with no reply,Resolved,15/04/26,2
36,ESC-535,14-04-2026,RF-1111,Agent,TripHub,Email,"Agent chasing for a status update, no response",Resolved,21-04-2026,7
37,ESC-536,15-04-2026,RF-1839,Agent,TripHub,Email,"Agent chasing for a status update, no response",Resolved,23-04-2026,8
38,ESC-537,15-04-2026,RF-1777,Agent,GoFly Holidays,Email,"Agent chasing for a status update, no response",Resolved,30-04-2026,15
39,ESC-538,19-04-2026,RF-1459,Agent,BlueJet Tours,WhatsApp,"Agent chasing for a status update, no response",Resolved,04-05-2026,15
40,ESC-539,20-04-2026,RF-1800,Agent,Anand Travels,Phone,"Ticket shows closed, Finance has no record of this refund",Resolved,05-05-2026,15
41,ESC-540,20-04-2026,RF-1020,Agent,BlueJet Tours,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,27-04-2026,7
42,ESC-541,22-04-2026,RF-1585,Internal,Wander Agency,WhatsApp,"Marked complete on Support side, nothing received by agent",Resolved,02-05-2026,10
43,ESC-542,22-04-2026,RF-1803,Agent,TripHub,Email,"Agent chasing for a status update, no response",Resolved,05-05-2026,13
44,ESC-543,23-04-2026,RF-1331,Agent,Wander Agency,WhatsApp,"Agent chasing for a status update, no response",Open,,68
45,ESC-544,25-04-2026,RF-1333,Agent,Nomad Travel,Email,Repeated follow-ups on refund status with no reply,Resolved,09-05-2026,14
