Escalation ID,Raised On,Related Ticket / Ref,Raised By,Agent / Team,Channel,Complaint,Status,Resolved On,Days Open
ESC-501,01-03-2026,RF-1325,Agent,GoFly Holidays,Email,"Agent chasing for a status update, no response",Resolved,11-03-2026,10
ESC-502,02-03-2026,RF-1096,Agent,GoFly Holidays,Email,"Agent chasing for a status update, no response",Resolved,15-03-2026,13
ESC-503,05-03-2026,RF-1202,Agent,TripHub,WhatsApp,"Agent chasing for a status update, no response",Open,,117
ESC-504,05-03-2026,RF-1593,Agent,Peak Journeys,Email,"No reference number given, agent chasing for two weeks",Resolved,19/03/26,14
ESC-505,06-03-2026,RF-1529,Agent,TripHub,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,15-03-2026,9
ESC-506,07-03-2026,RF-1389,Agent,Orbit Travels,Email,"Agent chasing for a status update, no response",Resolved,14-03-2026,7
ESC-507,07-03-2026,RF-1517,Agent,Nomad Travel,Phone,"Ticket shows closed, Finance has no record of this refund",Resolved,14-03-2026,7
ESC-508,08-03-2026,RF-1042,Agent,Metro Yatra,Phone,Support says refund is done but agent says money not credited,Resolved,22-03-2026,14
ESC-509,09-03-2026,RF-1703,Agent,Skyline Travels,Email,Repeated follow-ups on refund status with no reply,Resolved,13-03-2026,4
ESC-510,10-03-2026,RF-1164,Agent,Sunrise Trips,Email,"Agent chasing for a status update, no response",Resolved,23-03-2026,13
ESC-511,12-03-2026,RF-1454,Agent,Pinnacle Getaways,Email,Repeated follow-ups on refund status with no reply,Resolved,29-03-2026,17
ESC-512,13-03-2026,RF-1671,Agent,Peak Journeys,Email,"Told refund rejected, but no reason given",Resolved,30-03-2026,17
ESC-513,13-03-2026,RF-1425,Agent,Yatri Junction,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,17-03-2026,4
ESC-514,15-03-2026,RF-1590,Agent,Wander Agency,Phone,"Agent chasing for a status update, no response",Resolved,01-04-2026,17
ESC-515,16/03/26,RF-1151,Agent,GoFly Holidays,WhatsApp,Repeated follow-ups on refund status with no reply,Resolved,31-03-2026,15
ESC-516,17-03-2026,RF-1021,Agent,Kaveri Tours,Phone,"Agent chasing for a status update, no response",Resolved,02-04-2026,16
ESC-517,20-03-2026,RF-1308,Agent,BlueJet Tours,WhatsApp,"Agent chasing for a status update, no response",Resolved,25-03-2026,5
ESC-518,20-03-2026,RF-1373,Agent,BlueJet Tours,Phone,Repeated follow-ups on refund status with no reply,Resolved,06-04-2026,17
ESC-519,20-03-2026,RF-1543,Agent,Yatri Junction,WhatsApp,"Agent chasing for a status update, no response",Open,,102
ESC-520,20-03-2026,RF-1126,Agent,Metro Yatra,Email,"Agent chasing for a status update, no response",Resolved,07-04-2026,18
ESC-521,22-03-2026,RF-1817,Agent,TripHub,Email,Decline communicated without any policy explanation,Resolved,29-03-2026,7
